City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Mudkhed,IN,19.1667,77.5167,84.24,62,65,8.5,2022-07-31 05:58:36
1,Vallenar,CL,-28.5708,-70.7581,54.61,79,0,1.59,2022-07-31 05:58:37
2,Saint-Ambroise,CA,48.5501,-71.3324,66.74,72,86,8.05,2022-07-31 05:58:37
3,Bilma,NE,18.6853,12.9164,86.97,40,59,9.51,2022-07-31 05:58:38
4,Pinsk,BY,52.1229,26.0951,60.87,95,100,11.5,2022-07-31 05:55:23
5,Kaitangata,NZ,-46.2817,169.8464,42.21,85,91,10.94,2022-07-31 05:58:39
6,Saquena,PE,-4.6667,-73.5167,74.34,87,81,2.13,2022-07-31 05:58:39
7,Luderitz,NA,-26.6481,15.1594,50.74,70,0,16.04,2022-07-31 05:58:40
8,Alyangula,AU,-13.8483,136.4192,77.13,66,64,4.65,2022-07-31 05:58:40
9,Qaanaaq,GL,77.484,-69.3632,40.12,67,14,7.02,2022-07-31 05:58:41
10,Yellowknife,CA,62.456,-114.3525,52.32,82,20,5.75,2022-07-31 05:58:41
11,Gari,RU,59.4307,62.3497,75.34,56,99,6.71,2022-07-31 05:58:42
12,Ushuaia,AR,-54.8,-68.3,40.66,81,20,21.85,2022-07-31 05:56:48
13,Asau,RO,46.4333,26.4,65.32,95,100,3.06,2022-07-31 05:58:43
14,Nokaneng,BW,-19.6667,22.2667,57.06,27,3,6.26,2022-07-31 05:58:43
15,Hanna,CA,51.6334,-111.9018,62.85,89,63,1.99,2022-07-31 05:58:44
16,Bethel,US,41.3712,-73.414,69.66,85,0,3.87,2022-07-31 05:58:44
17,Dikson,RU,73.5069,80.5464,41.25,92,84,11.7,2022-07-31 05:58:45
18,Puerto Ayora,EC,-0.7393,-90.3518,69.55,91,59,4.0,2022-07-31 05:58:45
19,Jamestown,US,42.097,-79.2353,62.71,76,0,1.99,2022-07-31 05:58:46
20,Normandin,CA,48.8333,-72.5321,66.51,88,89,0.0,2022-07-31 05:58:46
21,New Norfolk,AU,-42.7826,147.0587,53.1,73,100,3.0,2022-07-31 05:58:47
22,Khatanga,RU,71.9667,102.5,55.18,61,97,14.2,2022-07-31 05:58:47
23,Kapaa,US,22.0752,-159.319,82.38,83,75,10.36,2022-07-31 05:55:01
24,Punta Arenas,CL,-53.15,-70.9167,42.91,61,0,5.75,2022-07-31 05:58:48
25,Cape Town,ZA,-33.9258,18.4232,48.11,92,20,2.3,2022-07-31 05:58:49
26,Husavik,IS,66.0449,-17.3389,44.64,83,100,15.39,2022-07-31 05:58:49
27,Sicamous,CA,50.8331,-118.9856,74.37,47,50,4.79,2022-07-31 05:58:50
28,Auki,SB,-8.7676,160.7034,84.52,67,22,3.87,2022-07-31 05:58:50
29,Pedasi,PA,7.5333,-80.0333,79.07,84,100,9.13,2022-07-31 05:58:51
30,Busselton,AU,-33.65,115.3333,57.43,68,90,10.33,2022-07-31 05:58:51
31,Lexington,US,37.9887,-84.4777,72.12,74,100,5.97,2022-07-31 05:57:14
32,Tshela,CD,-4.9833,12.9333,68.92,90,76,1.9,2022-07-31 05:58:52
33,Sagua La Grande,CU,22.8067,-80.0756,78.87,84,77,11.21,2022-07-31 05:58:53
34,Dunedin,NZ,-45.8742,170.5036,43.81,80,100,10.0,2022-07-31 05:58:53
35,Butaritari,KI,3.0707,172.7902,81.77,70,86,17.45,2022-07-31 05:58:54
36,Baduria,IN,22.7417,88.7858,91.33,49,100,9.95,2022-07-31 05:58:55
